,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,54,0,3,0,1,0,1,4,0,0,0,0,1,0,1,0,0,1,0,0,0
Subaru,0,47,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Dodge,4,0,55,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
Tesla,0,0,0,56,8,3,5,6,9,4,0,1,4,3,3,1,2,4,0,6,9
Toyota,1,0,0,2,52,14,18,3,26,21,0,0,6,4,1,1,7,6,0,11,5
Honda,4,0,1,0,8,56,8,6,5,8,13,3,3,4,4,0,9,1,2,5,9
Nissan,1,0,0,1,2,6,52,1,2,3,5,1,2,2,3,1,1,0,1,8,5
Chevrolet,7,0,2,0,5,1,5,46,0,3,0,0,1,1,4,1,0,0,1,0,7
Hyundai,0,0,0,0,1,1,1,1,50,3,0,0,1,0,0,0,1,1,0,1,2
Mazda,0,0,0,0,1,1,1,2,1,51,0,1,0,0,1,1,1,0,0,2,0
Renault,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,1,0,1
Lamborghini,0,0,0,0,0,0,0,0,0,0,1,58,0,0,1,1,0,0,1,1,0
Mercedes-Benz,1,0,0,1,2,0,0,2,0,3,12,3,51,9,3,3,7,1,4,6,3
BMW,1,0,1,0,3,3,10,2,0,12,5,5,11,54,3,15,11,3,2,22,5
Ford,9,0,5,1,16,6,9,28,6,14,0,0,4,0,35,6,1,12,0,3,10
Porsche,0,0,2,1,0,0,0,0,2,1,1,6,2,1,3,47,1,3,2,3,0
Audi,0,0,0,0,1,0,1,0,2,1,2,6,6,2,1,6,45,4,1,3,2
Volkswagen,1,0,0,0,5,0,5,2,8,3,1,0,4,0,2,7,13,49,1,3,1
Ferrari,0,0,0,0,0,0,0,0,0,0,20,16,2,3,2,20,1,0,55,1,0
Lexus,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,15,0
Volvo,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,42
