,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,816,0,10,4,19,3,5,50,18,31,10,6,9,3,10,4,8,23,12,2,7
Subaru,0,597,0,0,4,2,11,2,2,7,1,0,0,4,1,0,4,1,1,11,1
Dodge,43,16,804,0,2,0,0,13,0,1,1,1,1,0,7,0,1,1,0,1,2
Tesla,6,0,0,849,97,29,102,62,74,35,7,13,32,19,27,21,31,62,8,37,122
Toyota,44,2,5,17,761,228,251,116,338,203,45,8,63,26,41,26,68,97,2,159,99
Honda,27,5,2,4,123,862,102,63,127,119,124,42,18,23,55,10,47,32,34,83,63
Nissan,18,0,2,15,85,60,797,35,35,32,124,5,6,16,25,8,30,17,6,69,27
Chevrolet,79,0,9,9,42,20,50,642,16,14,7,7,6,8,65,4,17,17,1,14,39
Hyundai,5,0,3,0,18,17,26,7,757,22,1,3,4,1,2,1,4,9,1,6,11
Mazda,3,0,1,0,13,19,9,16,11,728,6,3,3,3,16,5,7,6,3,27,6
Renault,0,0,0,0,1,0,6,3,1,0,587,1,5,5,1,4,11,5,9,3,15
Lamborghini,1,0,2,1,0,0,0,0,1,0,5,865,4,2,5,16,5,2,5,2,2
Mercedes-Benz,4,0,5,12,33,27,42,31,24,37,260,66,777,116,37,63,108,35,114,161,54
BMW,14,0,3,14,45,102,123,31,42,164,77,69,204,796,46,207,276,44,43,301,154
Ford,124,0,38,44,289,56,93,381,192,187,20,14,46,28,574,89,66,97,6,43,112
Porsche,5,0,7,1,3,4,23,5,3,16,27,86,40,38,33,759,45,57,23,33,10
Audi,3,0,1,0,7,4,13,7,11,7,42,57,75,49,15,58,736,105,14,61,26
Volkswagen,6,0,0,5,87,18,80,28,81,55,9,4,80,25,21,96,205,681,1,10,53
Ferrari,0,0,6,3,4,6,11,2,5,3,324,283,49,20,31,158,12,4,845,12,0
Lexus,0,0,0,0,34,6,9,7,11,3,3,0,4,1,1,2,5,4,2,270,2
Volvo,2,0,0,1,2,0,2,2,6,2,3,0,1,1,0,0,6,1,0,3,682
