,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,43,0,0,0,1,0,1,3,1,2,1,0,0,0,1,1,2,3,1,0,1
Subaru,0,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Dodge,3,0,43,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Tesla,0,0,0,47,3,1,12,3,4,0,0,1,2,2,2,1,3,2,0,0,7
Toyota,3,0,1,0,41,16,20,6,17,11,4,0,5,1,1,0,4,7,0,9,9
Honda,0,0,1,1,14,46,4,3,11,7,6,1,1,4,7,3,7,2,0,5,5
Nissan,2,0,0,1,1,2,48,2,7,2,4,0,0,1,0,1,2,1,0,4,1
Chevrolet,8,0,2,0,2,2,1,34,1,1,0,1,1,0,3,1,2,1,0,0,2
Hyundai,0,0,0,0,1,3,2,2,41,1,0,0,0,1,0,0,1,0,0,0,0
Mazda,1,0,0,0,0,0,0,0,1,41,0,0,0,1,0,0,0,2,1,0,0
Renault,0,0,0,0,0,0,1,0,0,0,35,0,0,0,0,0,0,1,0,0,1
Lamborghini,1,0,1,0,0,0,0,0,0,0,0,50,0,0,0,1,1,0,3,0,0
Mercedes-Benz,0,0,1,0,3,3,5,1,2,2,13,4,45,6,1,1,8,4,3,8,1
BMW,0,0,0,0,1,6,8,0,2,5,5,4,11,44,2,8,11,6,0,21,9
Ford,7,0,3,2,14,2,4,21,14,9,2,1,0,1,29,7,3,4,0,5,2
Porsche,0,0,1,0,0,0,4,0,0,2,1,6,3,3,1,42,2,8,1,4,1
Audi,0,0,0,0,0,1,2,0,1,1,4,8,2,3,0,2,42,10,1,4,0
Volkswagen,0,0,0,0,2,4,6,5,4,2,0,1,3,2,0,4,12,42,0,0,2
Ferrari,0,0,1,0,0,0,1,0,0,1,20,14,4,0,3,15,2,0,44,0,0
Lexus,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,19,1
Volvo,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,39
