,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,408,0,7,0,11,3,4,26,3,23,6,4,3,3,2,2,7,7,2,2,4
Subaru,1,294,0,0,0,0,1,1,1,8,0,0,0,0,0,0,3,0,1,5,1
Dodge,16,9,401,0,0,0,0,10,0,0,0,1,1,3,2,0,1,3,1,2,3
Tesla,3,0,0,431,51,10,66,27,28,20,3,4,15,10,16,13,16,25,3,16,55
Toyota,26,0,4,9,377,100,111,59,157,103,24,3,34,14,27,12,36,45,4,66,45
Honda,18,1,4,6,86,429,47,25,73,53,53,7,6,15,28,10,30,11,12,33,31
Nissan,5,0,0,7,34,31,404,26,15,17,73,2,1,10,11,2,7,8,2,44,7
Chevrolet,37,0,9,3,20,9,20,334,6,12,0,6,10,3,24,0,11,5,4,6,13
Hyundai,9,0,1,1,4,7,13,4,394,10,0,1,0,2,0,0,1,3,1,4,8
Mazda,1,0,0,0,10,9,9,12,5,354,2,3,1,2,11,3,4,4,2,11,2
Renault,0,0,0,0,0,2,4,1,0,1,310,0,3,2,0,1,6,0,6,1,5
Lamborghini,0,0,0,1,0,1,1,0,0,0,6,434,0,3,2,6,1,0,5,1,0
Mercedes-Benz,3,0,3,12,10,19,16,12,9,14,129,39,394,64,22,38,45,16,59,79,25
BMW,8,0,0,14,16,67,53,14,24,77,24,33,84,405,19,74,133,23,13,172,99
Ford,57,1,12,16,126,40,42,195,94,91,5,7,22,8,282,42,28,52,5,18,64
Porsche,1,0,7,2,1,3,10,9,2,2,5,38,18,21,12,362,19,29,18,16,8
Audi,0,0,0,3,1,2,5,4,5,1,13,27,41,32,5,26,341,53,9,37,17
Volkswagen,9,0,0,2,53,9,47,28,37,38,5,2,32,21,6,42,77,346,0,12,19
Ferrari,1,0,1,2,1,1,4,3,3,1,154,142,25,11,17,84,13,0,426,8,1
Lexus,0,0,0,1,11,1,1,3,11,1,0,0,7,1,1,1,2,2,1,135,1
Volvo,2,0,0,0,1,1,1,0,1,0,1,0,4,0,1,1,3,0,0,0,340
