,Mercedes-Benz is similar to,Nissan is similar to
Jeep,3,3
Subaru,0,2
Dodge,0,0
GMC,0,0
Tesla,10,29
Buick,0,0
Toyota,16,64
Honda,3,21
Nissan,5,169
Chevrolet,5,9
Hyundai,1,3
Ram,0,0
Mazda,0,5
Renault,1,3
Lamborghini,0,1
Mercedes-Benz,179,8
BMW,47,26
Ford,6,23
Porsche,10,5
Audi,17,2
Volkswagen,15,18
Ferrari,16,1
MG,0,0
Lexus,0,1
Infiniti,0,0
Volvo,1,1
