,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,57,0,1,0,2,1,0,3,0,3,0,1,0,0,2,0,3,1,1,1,0
Subaru,1,38,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0
Dodge,1,0,55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tesla,1,0,0,57,11,4,5,4,2,2,0,0,2,3,6,4,3,2,0,1,8
Toyota,0,0,0,2,53,18,16,5,31,13,3,0,2,0,7,0,2,7,0,5,4
Honda,1,0,0,0,8,57,7,2,7,10,10,2,1,2,1,2,2,1,1,3,1
Nissan,0,0,1,0,4,3,51,2,4,3,3,2,0,0,3,1,0,0,0,5,3
Chevrolet,4,0,0,0,6,1,3,40,0,1,1,0,1,0,4,2,1,0,0,1,6
Hyundai,0,0,0,0,0,0,1,0,49,0,0,0,1,0,0,0,1,0,0,0,1
Mazda,0,0,0,0,1,3,1,0,0,52,0,0,0,1,0,0,0,0,0,2,0
Renault,0,0,0,0,0,0,0,0,0,0,37,1,0,0,1,0,0,0,0,1,1
Lamborghini,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,2,0,0,1,0,0
Mercedes-Benz,0,0,0,0,2,0,2,0,1,2,15,7,55,13,4,4,7,1,6,12,3
BMW,1,0,0,0,2,10,7,1,4,11,2,7,8,52,3,17,13,3,2,19,8
Ford,5,0,3,2,17,5,8,33,11,13,2,0,1,1,37,4,3,3,0,3,12
Porsche,1,0,1,0,0,1,1,0,0,1,3,10,1,6,2,44,0,5,2,3,2
Audi,0,0,0,0,0,0,2,0,1,0,1,1,1,2,1,12,47,7,1,5,3
Volkswagen,0,0,0,0,3,3,5,0,6,2,0,0,7,2,1,3,12,53,1,0,1
Ferrari,0,0,1,0,0,1,0,1,0,0,19,19,4,0,1,10,2,0,54,0,0
Lexus,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,1,0,19,0
Volvo,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,47
