,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,415,0,6,1,10,1,1,24,5,18,3,7,2,4,11,5,9,16,4,0,4
Subaru,2,309,0,0,1,1,3,3,0,5,0,0,1,0,0,0,1,0,0,3,2
Dodge,17,7,400,0,0,0,2,5,0,0,0,0,0,0,0,0,2,0,0,0,1
Tesla,3,0,0,426,50,18,72,44,40,16,1,8,20,8,12,16,20,13,3,16,52
Toyota,26,1,0,9,402,126,123,61,173,114,22,1,38,25,26,11,41,56,7,68,43
Honda,10,1,2,2,72,429,54,28,52,65,55,12,9,13,25,4,31,14,11,32,35
Nissan,11,0,0,8,31,32,394,27,24,19,58,5,12,7,9,2,9,13,2,34,17
Chevrolet,33,0,3,2,27,9,23,332,7,5,1,4,7,4,20,4,8,6,1,11,29
Hyundai,7,0,0,0,6,6,4,7,394,6,1,1,2,3,1,0,1,1,0,3,5
Mazda,0,0,0,0,3,12,5,5,4,366,0,1,3,2,4,4,10,3,0,21,1
Renault,0,0,0,0,1,0,2,1,3,0,296,0,3,2,0,1,2,5,9,1,6
Lamborghini,0,0,0,0,1,0,1,1,0,0,8,427,2,4,2,7,1,0,5,2,0
Mercedes-Benz,1,0,3,9,13,10,23,10,8,13,118,30,393,72,25,45,54,12,60,68,23
BMW,4,0,2,11,28,54,53,10,22,78,31,25,104,410,16,92,123,17,30,157,87
Ford,60,0,19,13,127,36,43,206,85,89,15,10,22,12,280,42,31,56,4,15,64
Porsche,1,0,3,0,1,0,6,2,6,5,9,41,19,17,14,356,16,18,15,30,8
Audi,0,0,0,1,1,3,8,3,6,5,14,47,31,24,4,28,343,41,12,41,13
Volkswagen,4,0,0,2,50,15,48,9,39,43,4,6,31,12,10,46,107,352,3,9,21
Ferrari,0,0,3,0,0,2,4,2,0,1,153,134,25,8,17,74,8,0,428,5,0
Lexus,0,0,0,0,18,1,4,2,4,4,2,0,5,4,0,0,3,1,0,150,1
Volvo,0,0,0,1,0,1,2,1,2,0,0,0,4,1,0,0,3,2,0,1,326
