,Mercedes-Benz is similar to,Nissan is similar to
Jeep,1,1
Subaru,0,4
Dodge,1,0
GMC,0,1
Tesla,6,19
Buick,0,0
Toyota,17,60
Honda,6,22
Nissan,4,179
Chevrolet,3,5
Hyundai,1,2
Ram,0,0
Mazda,0,2
Renault,1,4
Lamborghini,0,0
Mercedes-Benz,176,7
BMW,61,27
Ford,9,13
Porsche,6,2
Audi,16,0
Volkswagen,15,18
Ferrari,13,2
MG,0,0
Lexus,2,2
Infiniti,0,0
Volvo,0,1
