,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,670,0,12,4,8,2,5,51,9,33,4,5,15,3,9,8,7,20,17,6,11
Subaru,2,485,0,2,1,0,2,2,0,5,1,0,1,0,3,0,0,0,0,12,8
Dodge,30,7,658,0,0,1,0,13,3,1,0,1,1,1,8,1,0,2,0,1,5
Tesla,4,0,0,730,74,30,75,64,55,27,5,5,33,17,29,24,35,32,3,32,101
Toyota,47,1,2,19,640,212,235,97,253,186,35,5,49,24,44,13,48,80,5,127,95
Honda,14,0,1,9,111,718,86,39,96,102,106,23,12,29,42,13,48,20,23,60,67
Nissan,25,0,0,22,53,49,672,40,23,27,83,5,6,10,16,9,15,7,3,65,37
Chevrolet,62,0,13,7,32,21,27,561,11,15,4,4,8,9,34,7,17,14,1,15,48
Hyundai,11,0,2,5,10,17,20,9,651,11,5,0,2,3,2,1,7,2,0,7,13
Mazda,2,0,2,0,13,8,6,15,8,615,1,5,1,4,9,2,7,4,2,35,7
Renault,0,0,0,0,3,3,14,0,3,2,487,1,5,3,2,3,7,2,13,7,9
Lamborghini,1,0,0,0,1,0,1,2,0,3,6,730,4,5,0,14,3,0,6,3,1
Mercedes-Benz,8,0,1,15,21,20,27,30,21,33,195,74,648,111,25,76,87,26,98,127,47
BMW,5,0,0,17,39,85,71,27,35,113,48,55,172,675,33,155,211,45,34,248,129
Ford,103,0,26,27,221,67,73,310,145,161,8,15,40,25,459,63,35,78,6,39,98
Porsche,5,0,6,3,6,2,12,5,0,10,20,64,41,42,20,607,28,44,34,40,14
Audi,3,0,0,2,5,3,13,3,4,9,26,44,40,38,8,50,588,114,16,59,20
Volkswagen,7,0,1,5,91,12,50,28,58,56,7,1,56,18,10,82,144,606,3,11,39
Ferrari,1,0,2,0,1,2,13,2,4,5,275,276,41,15,31,137,9,2,704,6,3
Lexus,0,0,0,1,19,3,3,0,5,4,2,5,6,4,1,0,3,2,0,242,3
Volvo,2,0,0,2,4,1,3,2,7,0,0,0,1,2,4,1,1,3,0,1,549
