,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,676,0,9,2,17,5,2,61,6,26,1,6,8,4,9,2,16,18,16,2,10
Subaru,0,477,0,0,1,1,4,0,0,1,0,2,0,1,2,0,0,2,0,21,3
Dodge,30,12,662,0,1,3,2,11,3,1,2,1,1,0,6,0,1,2,1,0,0
Tesla,2,0,0,719,62,25,75,48,67,23,4,6,20,17,24,12,34,39,6,22,117
Toyota,42,1,5,15,660,200,225,81,243,191,29,8,46,40,36,24,56,80,8,144,80
Honda,22,2,2,12,115,710,83,41,87,103,96,28,6,25,37,12,50,18,31,78,56
Nissan,17,0,0,21,53,55,650,36,29,33,103,4,9,15,14,6,20,9,3,50,28
Chevrolet,57,0,5,5,24,15,24,549,15,15,4,5,7,9,34,12,10,7,0,16,48
Hyundai,7,0,0,2,15,15,18,9,628,14,4,0,3,4,4,0,2,3,0,6,11
Mazda,1,2,1,0,8,11,8,9,10,584,2,1,1,5,11,2,8,3,0,23,3
Renault,0,0,0,0,0,0,9,1,0,2,522,1,6,7,0,4,9,2,14,9,10
Lamborghini,0,0,2,0,1,2,3,0,0,0,5,725,5,7,7,15,3,0,10,3,1
Mercedes-Benz,5,0,6,14,22,24,37,21,19,37,217,60,659,117,23,73,92,23,100,121,42
BMW,9,0,2,12,33,101,88,32,45,121,66,82,143,674,21,131,209,27,35,229,130
Ford,110,0,22,23,232,46,90,367,151,158,18,13,35,23,480,66,30,89,7,32,95
Porsche,3,0,10,0,4,3,20,4,3,11,22,72,32,30,19,607,30,42,23,38,13
Audi,2,0,1,4,8,6,8,3,5,9,44,45,56,37,7,52,583,93,13,68,15
Volkswagen,9,0,2,5,89,10,75,24,55,60,10,2,64,22,15,67,139,601,1,17,30
Ferrari,0,0,5,0,1,4,10,0,6,6,271,245,40,17,24,153,17,1,710,14,2
Lexus,0,0,0,1,21,0,1,9,8,1,1,3,6,2,3,2,2,2,0,249,0
Volvo,3,0,0,0,0,2,2,4,2,1,0,0,2,4,0,0,1,1,0,1,551
