,Unnamed: 0,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
0,Jeep,415,0,6,1,10,1,2,26,8,19,3,9,2,3,11,3,9,15,5,0,5
1,Subaru,2,307,0,0,1,1,3,3,0,5,0,0,1,0,0,0,1,0,0,3,1
2,Dodge,18,0,398,0,0,1,2,6,1,0,0,0,0,0,0,1,2,0,0,0,1
3,Tesla,3,0,0,427,50,17,68,42,37,16,2,8,19,9,12,16,21,13,2,16,51
4,Toyota,26,1,0,9,403,125,123,59,169,113,26,1,35,24,24,12,44,51,7,69,44
5,Honda,12,1,3,2,75,431,55,27,53,61,55,11,8,14,27,4,30,11,11,33,36
6,Nissan,11,0,0,8,32,28,387,25,23,22,56,6,12,7,11,2,9,11,2,40,16
7,Chevrolet,34,0,3,3,28,7,21,335,6,5,1,4,6,4,18,3,9,7,1,10,30
8,Hyundai,7,0,0,0,6,6,3,6,388,6,1,1,2,3,1,0,1,2,0,4,6
9,Mazda,0,0,0,0,3,11,4,5,5,367,0,1,2,2,5,3,9,3,0,17,1
10,Renault,0,0,0,0,1,0,2,1,3,0,287,0,3,2,0,1,1,4,10,2,8
11,Lamborghini,0,0,0,0,1,0,1,1,0,0,6,427,2,4,2,7,1,0,5,2,0
12,Mercedes-Benz,1,0,3,9,12,10,21,10,8,13,118,31,395,68,25,44,59,14,57,69,23
13,BMW,4,0,2,10,27,56,52,11,22,80,32,26,108,407,18,94,119,19,28,154,85
14,Ford,59,0,19,15,129,37,43,210,87,91,15,9,22,12,281,38,28,52,4,14,65
15,Porsche,1,0,3,0,1,0,6,2,7,4,10,40,18,16,13,353,18,22,15,30,7
16,Audi,0,0,0,1,1,2,9,2,6,5,15,44,33,25,3,28,344,45,11,43,13
17,Volkswagen,5,0,0,2,50,14,48,8,38,42,4,5,33,16,10,47,103,350,2,7,20
18,Ferrari,0,0,3,0,0,2,5,2,1,1,157,135,25,8,15,74,8,1,427,6,0
19,Lexus,0,0,0,0,17,1,4,2,4,3,2,0,4,3,0,0,3,1,0,153,1
20,Volvo,0,0,0,1,0,1,3,1,2,0,0,0,3,1,0,0,3,2,0,1,328
