,Mercedes-Benz is similar to,Nissan is similar to
Jeep,2,1
Subaru,0,2
Dodge,0,0
GMC,0,0
Tesla,5,25
Buick,0,0
Toyota,18,49
Honda,3,23
Nissan,5,177
Chevrolet,1,9
Hyundai,1,4
Ram,0,0
Mazda,1,3
Renault,2,2
Lamborghini,1,1
Mercedes-Benz,169,12
BMW,60,28
Ford,9,21
Porsche,14,5
Audi,13,7
Volkswagen,14,22
Ferrari,19,6
MG,0,0
Lexus,1,0
Infiniti,0,0
Volvo,0,2
