,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,45,0,1,1,0,0,0,6,2,2,0,1,1,0,1,1,0,0,0,0,2
Subaru,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Dodge,0,0,42,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Tesla,0,0,0,48,2,2,6,1,7,1,0,1,5,3,3,0,1,2,0,2,6
Toyota,1,0,2,1,44,6,21,4,19,13,4,0,2,4,2,2,3,6,1,9,11
Honda,0,0,0,0,13,48,7,0,7,8,6,1,0,4,1,1,3,0,3,6,1
Nissan,1,0,0,0,4,4,45,4,2,3,6,0,0,2,0,0,2,0,0,6,2
Chevrolet,1,0,0,0,3,1,1,37,2,2,1,0,1,0,3,0,2,1,0,0,4
Hyundai,0,0,0,0,0,1,1,1,44,0,0,0,0,1,2,0,1,0,0,0,1
Mazda,0,0,0,0,0,0,0,1,2,40,0,0,0,0,0,0,2,0,0,2,0
Renault,0,0,0,0,0,0,0,0,0,0,27,0,0,1,0,0,1,1,1,0,1
Lamborghini,0,0,0,0,0,0,0,0,0,0,0,48,0,3,0,0,0,0,0,0,0
Mercedes-Benz,0,0,0,1,2,2,1,0,1,4,19,3,46,8,1,5,5,3,7,7,3
BMW,0,0,0,0,2,7,5,1,2,10,3,7,8,43,2,6,10,1,4,16,7
Ford,7,0,4,4,15,2,2,25,13,13,0,1,6,1,33,4,3,5,0,3,8
Porsche,0,0,1,0,0,0,0,0,0,2,2,10,1,0,2,39,4,0,1,1,0
Audi,0,0,0,0,1,0,0,1,2,1,1,5,0,4,0,2,32,4,1,6,0
Volkswagen,0,0,1,0,2,0,5,3,2,2,1,0,7,2,0,8,10,38,0,1,0
Ferrari,0,0,0,0,0,1,0,0,0,1,14,18,2,3,1,11,0,0,47,0,1
Lexus,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0
Volvo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40
