,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,551,0,7,3,10,5,4,26,9,18,2,7,8,4,14,3,9,14,18,3,4
Subaru,2,414,0,0,4,4,6,3,1,6,2,1,0,4,0,0,1,2,0,15,3
Dodge,22,5,525,0,1,0,0,13,0,1,0,0,0,1,6,0,3,0,1,3,0
Tesla,2,0,1,571,66,14,85,44,46,30,4,1,27,8,20,22,22,40,10,20,95
Toyota,37,0,1,7,527,138,187,85,212,141,18,5,44,18,21,18,49,53,5,101,55
Honda,15,0,2,2,81,574,68,49,81,92,77,18,20,16,34,4,28,16,20,40,54
Nissan,9,0,0,12,37,32,526,32,22,24,77,1,9,5,17,5,16,8,2,51,24
Chevrolet,46,0,5,9,38,9,28,448,8,25,4,4,5,4,27,5,11,8,0,7,18
Hyundai,7,0,0,2,12,11,17,11,520,8,3,0,3,4,1,1,3,0,1,6,4
Mazda,0,0,2,1,11,12,8,7,5,458,0,2,5,5,9,1,7,3,0,16,4
Renault,0,0,0,0,1,0,7,0,2,0,395,0,3,5,1,2,4,3,17,3,9
Lamborghini,0,0,1,0,0,1,1,1,0,1,8,584,0,2,2,5,4,0,4,8,1
Mercedes-Benz,4,0,3,12,24,27,27,22,10,25,168,52,540,95,22,68,71,15,71,109,27
BMW,6,0,2,15,29,80,68,9,28,84,50,52,156,545,31,135,163,17,21,210,108
Ford,80,0,18,16,185,31,58,270,113,147,7,15,28,18,385,50,29,65,4,19,82
Porsche,0,0,8,2,3,6,6,4,2,7,18,45,27,22,17,488,42,35,25,35,4
Audi,6,0,1,0,7,2,9,3,6,2,24,40,44,28,5,43,470,79,11,42,23
Volkswagen,6,0,2,2,72,7,60,23,46,36,9,5,34,18,11,62,121,459,3,7,22
Ferrari,1,0,4,0,0,8,15,2,2,1,225,189,30,14,25,95,10,1,560,9,0
Lexus,1,0,0,2,19,3,4,5,6,4,2,1,3,0,1,0,4,0,0,219,3
Volvo,1,0,0,2,2,1,2,1,7,0,0,1,2,1,2,0,4,2,0,0,434
