,Unnamed: 0,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
0,Jeep,405,0,7,0,10,3,2,27,3,22,5,4,3,3,2,3,7,6,3,2,4
1,Subaru,1,298,0,0,0,0,1,1,1,8,0,0,0,0,0,0,3,0,1,6,1
2,Dodge,16,0,398,0,0,0,0,10,0,0,0,1,1,3,4,0,1,0,1,3,2
3,Tesla,3,0,0,431,52,10,61,27,30,19,3,4,18,9,16,13,16,24,4,16,58
4,Toyota,28,0,4,10,382,100,112,59,163,100,24,3,34,16,26,14,37,44,5,70,47
5,Honda,19,1,5,9,83,430,49,25,71,50,52,8,7,18,28,10,28,11,12,34,28
6,Nissan,5,0,0,7,37,29,402,27,15,17,76,2,2,10,12,2,8,8,2,44,7
7,Chevrolet,38,0,9,4,21,9,20,337,6,12,1,6,9,3,25,0,12,5,4,6,15
8,Hyundai,8,0,1,1,4,7,12,4,396,10,1,1,0,2,0,0,1,3,1,3,7
9,Mazda,1,0,0,0,9,9,7,11,6,351,2,3,1,4,10,3,4,5,2,9,2
10,Renault,0,0,0,0,0,2,4,1,1,1,313,0,2,2,0,1,6,0,5,1,6
11,Lamborghini,0,0,0,1,0,1,1,0,0,0,6,436,0,3,2,7,1,0,6,1,0
12,Mercedes-Benz,3,0,3,11,12,20,16,13,10,16,126,42,394,65,21,35,47,13,59,76,26
13,BMW,9,0,0,13,17,68,55,16,24,74,25,36,87,402,19,74,134,20,12,168,101
14,Ford,58,1,12,16,124,39,40,199,87,97,7,7,21,9,283,38,29,51,6,17,66
15,Porsche,2,0,6,2,1,3,11,8,2,2,4,35,17,23,10,365,20,26,18,16,7
16,Audi,0,0,0,3,1,2,3,3,5,1,14,25,41,28,5,27,345,52,10,36,16
17,Volkswagen,10,0,0,2,50,8,45,26,39,38,5,2,32,21,7,37,77,351,0,10,19
18,Ferrari,2,0,1,2,1,1,4,2,3,1,157,139,23,11,15,89,12,0,422,8,1
19,Lexus,0,0,0,1,13,1,1,3,8,1,0,1,6,1,1,1,3,2,1,139,1
20,Volvo,1,0,0,0,1,1,1,0,1,0,1,0,3,0,1,1,3,0,0,0,339
