,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,40,0,0,0,3,0,0,2,1,1,0,1,1,0,0,1,4,0,0,0,0
Subaru,0,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dodge,4,0,41,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Tesla,0,0,0,39,3,1,3,4,5,1,1,1,2,2,3,2,3,1,0,0,11
Toyota,0,0,0,0,42,10,10,7,13,8,3,1,1,0,3,4,7,5,0,4,0
Honda,0,0,0,1,5,45,4,3,8,7,1,1,1,2,1,2,5,0,1,4,3
Nissan,0,0,0,0,2,2,40,2,1,1,5,0,0,0,1,2,3,0,0,2,2
Chevrolet,3,0,1,1,1,0,2,32,0,1,0,0,0,0,3,0,3,2,0,0,2
Hyundai,0,0,0,0,0,1,1,1,42,2,1,0,0,0,1,0,1,1,0,1,1
Mazda,0,0,0,0,0,3,1,1,0,38,0,0,0,0,2,1,0,0,0,3,0
Renault,0,0,0,0,0,0,1,0,0,1,29,0,0,0,0,0,0,0,2,0,0
Lamborghini,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0
Mercedes-Benz,0,0,0,1,1,3,1,0,2,2,13,6,41,3,2,0,2,2,2,9,4
BMW,0,0,1,1,4,5,9,0,2,5,2,5,12,40,1,11,5,2,2,16,12
Ford,4,0,3,2,16,0,5,14,10,7,1,1,2,1,28,1,5,6,0,1,4
Porsche,0,0,0,0,0,1,2,1,0,0,4,3,1,4,2,36,1,1,0,1,1
Audi,0,0,0,0,1,0,0,0,0,0,1,3,3,3,0,6,33,3,0,3,4
Volkswagen,0,0,0,0,6,1,4,2,5,6,0,0,4,1,1,4,11,32,0,1,2
Ferrari,0,0,0,0,0,1,0,0,0,1,18,12,3,0,3,6,0,0,41,0,0
Lexus,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,20,0
Volvo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37
