,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,45,0,1,0,0,0,0,6,0,4,0,0,0,0,0,1,1,0,1,0,1
Subaru,0,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Dodge,1,0,47,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tesla,0,0,0,47,5,1,7,1,4,1,1,0,0,1,1,2,1,5,0,1,4
Toyota,3,1,0,1,45,13,15,5,18,18,1,0,2,2,3,1,3,4,1,9,4
Honda,2,0,0,1,9,49,5,4,4,11,9,3,0,1,1,1,3,1,0,2,4
Nissan,1,0,0,4,4,6,46,4,4,0,4,0,0,0,0,0,1,1,0,2,2
Chevrolet,2,0,1,1,3,3,2,36,0,0,0,0,0,0,4,0,0,0,0,2,4
Hyundai,1,0,0,0,2,2,2,0,40,2,0,0,0,0,1,0,1,0,0,1,0
Mazda,0,0,0,0,2,0,1,2,0,41,0,0,0,0,0,0,0,1,0,1,0
Renault,0,0,0,0,0,0,1,0,0,0,37,0,0,0,0,0,0,0,0,1,0
Lamborghini,0,0,0,0,0,1,0,0,0,0,0,48,0,0,1,0,0,0,0,0,0
Mercedes-Benz,1,0,0,0,3,1,5,2,1,5,12,4,40,8,1,5,2,5,7,8,3
BMW,1,0,1,0,2,10,5,2,1,7,8,6,8,45,1,13,13,3,3,18,5
Ford,5,0,3,1,12,6,5,29,5,8,0,2,3,1,36,2,1,6,0,5,7
Porsche,0,0,0,0,1,0,2,0,0,0,1,6,2,1,2,37,0,4,3,1,0
Audi,0,0,0,0,0,1,0,0,0,1,3,5,1,2,0,1,44,7,0,4,1
Volkswagen,1,0,0,0,8,0,6,2,7,2,2,0,5,1,2,2,10,40,0,0,2
Ferrari,0,0,0,0,1,1,0,0,0,1,21,14,6,1,1,10,1,0,47,0,0
Lexus,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,15,0
Volvo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
