,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,66,6,3,7,1,6,4,1,1,1,5,6,4,4,3
Mercedes-Benz,3,48,3,5,0,7,3,0,1,2,4,3,7,7,6
Ford,2,1,72,6,3,4,1,8,1,5,3,0,4,3,3
Hyundai,0,0,0,56,2,0,1,0,0,0,0,0,1,0,1
Kia,0,0,1,11,64,0,1,0,0,0,2,0,1,0,1
Ram,0,0,0,0,0,56,0,3,0,0,0,0,0,0,0
Subaru,0,0,0,1,0,0,66,1,0,0,0,0,0,0,0
Jeep,0,0,0,0,1,0,0,62,0,1,0,0,0,0,1
Toyota,1,1,2,5,3,1,0,1,59,1,5,0,8,2,5
Chevrolet,0,2,1,1,0,1,1,0,0,54,0,0,0,0,29
Honda,0,0,0,4,0,2,1,0,1,1,64,0,1,1,1
Audi,2,1,2,3,1,4,2,2,0,0,2,62,1,1,0
Lexus,0,0,0,1,0,0,0,0,4,0,0,0,62,0,1
Tesla,4,2,4,3,5,1,0,0,3,8,1,0,0,67,5
GMC,0,0,0,0,0,0,0,0,0,4,0,0,0,0,37
