,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,46,2,2,2,1,2,0,0,2,0,2,4,6,1,0
Mercedes-Benz,1,32,4,0,0,3,1,0,1,1,1,5,5,1,0
Ford,1,1,54,2,3,3,0,1,1,4,1,1,3,0,7
Hyundai,1,1,0,50,0,1,0,0,0,0,1,0,0,0,0
Kia,0,0,0,5,56,0,0,0,0,0,0,0,0,0,0
Ram,0,0,0,0,0,40,0,1,0,0,0,1,1,1,0
Subaru,0,0,0,0,0,0,52,1,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0
Toyota,1,1,3,2,1,2,0,3,48,2,3,0,8,2,2
Chevrolet,0,0,1,1,0,1,1,2,0,44,0,0,0,0,25
Honda,0,0,4,0,0,1,0,1,2,1,52,0,1,0,0
Audi,2,0,0,1,1,1,0,0,1,0,1,45,4,1,0
Lexus,0,0,0,0,0,0,0,0,2,0,0,0,48,1,0
Tesla,0,3,2,0,4,1,1,0,2,6,0,1,1,53,3
GMC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25
