,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,48,1,5,0,2,4,0,0,0,0,3,5,5,5,4
Mercedes-Benz,4,40,3,0,4,5,0,0,0,0,2,2,6,3,4
Ford,1,2,55,0,0,0,0,5,4,5,0,0,2,3,2
Hyundai,0,0,1,44,0,0,1,0,1,0,0,1,0,0,0
Kia,0,0,1,9,53,0,0,0,0,0,0,0,0,0,1
Ram,0,0,0,0,0,46,0,2,0,0,0,0,0,0,0
Subaru,0,0,0,0,1,0,55,0,0,0,0,0,0,0,0
Jeep,0,0,0,1,0,1,1,48,0,0,0,0,0,0,0
Toyota,2,2,0,5,0,1,5,2,45,2,4,0,4,1,2
Chevrolet,0,0,3,0,1,0,0,2,1,46,0,0,3,0,24
Honda,0,0,0,6,1,1,2,0,4,0,54,0,1,1,0
Audi,0,0,1,0,1,1,0,0,0,0,1,49,2,0,1
Lexus,0,0,0,0,0,0,1,1,3,0,0,1,48,0,0
Tesla,3,4,4,3,2,1,2,1,4,4,2,1,1,57,7
GMC,0,0,0,0,0,0,0,0,0,2,0,0,0,0,24
