,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,46,3,0,2,2,4,0,0,2,3,1,6,3,0,1
Mercedes-Benz,2,38,0,0,3,4,0,0,1,3,1,5,3,0,2
Ford,1,1,43,0,2,6,1,4,1,3,2,1,2,1,4
Hyundai,0,0,0,39,2,1,0,0,0,0,1,0,0,0,1
Kia,0,0,0,9,45,0,0,0,0,0,1,0,0,0,0
Ram,1,0,1,0,0,38,0,0,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,1,44,0,0,0,0,0,0,0,0
Jeep,0,0,1,0,0,1,0,42,0,0,0,0,0,0,0
Toyota,1,0,1,0,4,2,4,0,41,4,2,2,6,1,1
Chevrolet,0,0,0,0,0,3,0,0,0,36,1,1,1,0,21
Honda,0,2,0,2,2,3,3,0,0,2,42,0,1,0,0
Audi,0,1,0,0,1,2,1,0,1,1,1,40,3,0,1
Lexus,0,0,0,0,0,0,1,0,2,1,0,0,41,0,0
Tesla,0,3,1,2,1,4,0,1,3,2,0,1,1,46,5
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
