,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,42,3,1,1,2,2,1,0,1,0,3,5,2,1,1
Mercedes-Benz,2,32,1,0,2,1,0,0,1,0,2,4,5,2,1
Ford,0,0,47,3,2,1,1,4,1,5,1,1,1,2,3
Hyundai,0,0,0,46,2,0,0,0,0,0,1,0,0,0,0
Kia,0,0,0,8,38,0,0,0,0,0,0,0,0,0,0
Ram,0,0,1,0,0,40,0,0,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0
Toyota,0,0,2,4,0,1,1,1,40,3,5,0,3,2,2
Chevrolet,0,0,1,0,3,1,0,0,0,37,0,0,0,1,24
Honda,0,0,1,2,0,0,0,0,0,1,42,0,1,2,0
Audi,1,2,0,0,1,1,0,0,0,0,0,42,0,0,0
Lexus,0,0,0,0,0,0,0,0,4,0,0,0,42,0,0
Tesla,1,1,1,1,2,0,0,2,2,7,0,1,0,46,5
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
