,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,64,3,2,6,2,0,1,0,1,2,2,5,4,3,0
Mercedes-Benz,0,47,2,3,3,2,1,0,1,0,1,4,3,3,1
Ford,0,2,64,3,2,2,2,2,2,5,1,1,3,2,3
Hyundai,0,1,0,59,0,1,0,0,2,0,0,0,0,0,0
Kia,0,1,1,8,61,0,0,0,0,1,0,0,1,0,0
Ram,0,0,0,0,0,54,0,1,0,0,0,0,0,0,0
Subaru,0,0,0,2,1,0,62,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,52,0,0,0,0,0,0,1
Toyota,1,1,4,4,1,3,6,2,60,1,6,0,11,1,2
Chevrolet,0,0,2,0,1,0,1,0,1,46,0,0,0,0,28
Honda,0,1,2,3,0,0,3,0,1,2,66,0,1,0,1
Audi,1,1,0,2,0,0,0,0,0,1,0,43,2,3,0
Lexus,0,0,0,0,0,0,0,0,1,0,1,0,57,1,0
Tesla,2,1,2,1,2,1,1,0,3,9,0,0,1,62,4
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
