,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,52,6,0,1,2,0,2,0,1,2,1,5,4,2,4
Mercedes-Benz,4,43,0,2,4,1,1,1,1,1,0,3,3,2,3
Ford,2,4,55,3,1,3,0,1,3,1,3,1,4,0,2
Hyundai,0,1,0,43,3,0,0,0,0,0,1,0,0,0,1
Kia,0,0,0,5,49,0,0,0,0,0,1,0,0,0,1
Ram,0,0,1,1,0,44,0,1,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,51,0,1,0,0,0,0,0,1
Jeep,0,0,0,0,0,0,0,48,0,0,0,0,0,0,1
Toyota,0,0,1,0,4,3,3,3,48,1,4,0,8,1,3
Chevrolet,0,0,1,0,0,1,0,0,0,41,0,0,1,0,25
Honda,0,1,0,0,1,0,0,0,3,1,56,0,2,0,3
Audi,0,4,0,1,2,0,1,0,0,0,0,56,0,0,3
Lexus,0,0,0,0,1,1,0,0,6,0,0,0,52,0,0
Tesla,3,2,2,3,4,0,0,0,5,6,1,2,1,54,6
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
