,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,42,1,3,2,0,3,1,2,0,3,2,2,4,2,1
Mercedes-Benz,6,37,3,1,1,2,0,0,1,3,3,1,6,1,2
Ford,1,1,47,2,2,0,2,5,2,6,0,1,2,1,5
Hyundai,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0
Kia,0,0,0,7,42,0,0,1,1,0,0,0,0,0,0
Ram,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1
Subaru,0,0,0,1,0,0,46,0,0,1,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0
Toyota,1,2,3,1,0,1,4,1,44,4,2,0,2,2,2
Chevrolet,0,0,3,0,0,0,0,1,2,33,0,1,1,0,24
Honda,1,2,1,2,0,0,1,1,1,2,43,0,0,0,2
Audi,0,0,0,1,1,0,0,0,0,1,0,39,2,1,1
Lexus,0,0,0,0,0,0,0,0,1,0,0,0,35,0,0
Tesla,1,2,3,1,4,0,0,0,2,4,5,0,0,45,5
GMC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23
