,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,69,8,3,2,2,1,2,2,4,1,3,2,4,4,2
Mercedes-Benz,5,59,0,1,0,4,1,1,3,1,1,2,3,4,4
Ford,2,1,73,2,6,2,4,5,4,6,3,2,2,2,11
Hyundai,0,0,0,59,2,0,0,0,1,0,0,0,0,0,0
Kia,0,0,0,13,63,0,0,0,0,0,0,0,0,0,0
Ram,1,0,1,0,1,65,0,1,0,0,0,0,0,0,1
Subaru,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0
Jeep,0,1,0,0,0,1,0,64,0,0,0,0,0,0,1
Toyota,0,0,1,5,2,2,3,2,69,4,4,2,7,1,2
Chevrolet,0,0,0,3,0,1,0,1,1,52,1,0,1,0,37
Honda,0,0,0,1,1,2,2,0,1,4,74,0,1,0,0
Audi,3,5,1,1,0,1,1,2,0,3,0,55,1,0,0
Lexus,0,0,0,1,0,0,0,0,5,1,0,0,62,0,0
Tesla,3,1,5,0,6,1,1,1,6,11,4,0,2,68,3
GMC,0,0,0,0,0,0,0,0,0,0,0,1,0,0,42
