,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,40,2,0,2,3,0,1,1,1,1,2,4,2,2,1
Mercedes-Benz,2,31,2,2,4,3,1,0,1,0,3,2,1,0,1
Ford,2,0,41,2,1,2,1,6,0,3,2,0,3,3,5
Hyundai,0,0,0,42,0,0,1,0,1,1,1,0,0,0,0
Kia,0,0,0,6,41,0,0,0,0,0,0,0,0,0,0
Ram,0,0,0,0,0,40,0,0,0,0,1,0,0,0,0
Subaru,0,0,1,0,0,0,44,1,0,0,0,0,0,0,1
Jeep,0,0,0,0,0,2,0,35,0,0,0,0,0,0,0
Toyota,0,0,5,2,1,2,5,0,40,2,1,0,7,0,6
Chevrolet,0,0,1,0,1,2,0,0,2,32,0,0,0,0,19
Honda,0,0,1,1,1,0,0,1,1,0,45,0,3,0,3
Audi,2,1,0,1,1,0,1,0,0,0,1,34,0,0,1
Lexus,0,0,0,0,0,0,0,0,6,0,0,0,40,0,0
Tesla,4,2,2,1,3,1,2,1,1,6,2,1,1,43,3
GMC,0,0,1,0,0,0,0,0,0,0,1,0,0,0,23
