,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,49,1,3,1,0,2,1,1,3,1,2,2,5,3,1
Mercedes-Benz,3,42,2,0,1,2,0,1,2,2,2,3,5,3,4
Ford,1,2,56,3,2,3,0,5,1,2,3,2,2,2,4
Hyundai,0,0,0,51,0,1,1,0,0,0,0,0,0,0,0
Kia,0,0,0,11,53,0,0,0,0,0,0,1,0,0,1
Ram,0,0,0,0,0,47,0,1,0,0,1,0,0,0,0
Subaru,0,0,0,0,1,0,55,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,48,0,0,0,0,0,0,1
Toyota,1,0,2,2,2,0,2,1,53,0,6,0,5,0,3
Chevrolet,0,0,4,1,0,0,0,2,0,43,1,0,0,0,23
Honda,1,0,2,0,0,0,0,1,0,0,47,0,1,1,1
Audi,4,0,0,0,0,1,1,0,1,1,2,40,1,1,0
Lexus,0,0,0,0,0,0,0,0,0,1,0,0,48,0,0
Tesla,5,2,2,0,3,0,0,1,0,4,4,2,1,54,1
GMC,0,0,2,0,0,0,0,0,0,0,0,0,0,0,30
