,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,46,3,0,4,0,2,0,2,3,2,0,0,1,3,2
Mercedes-Benz,4,44,1,4,2,2,0,2,3,1,0,1,3,1,6
Ford,1,1,53,3,1,0,3,3,0,4,0,2,4,1,5
Hyundai,0,0,0,46,3,0,0,1,0,0,1,1,1,0,1
Kia,0,1,0,8,55,0,0,0,0,0,0,1,0,0,0
Ram,0,0,1,0,0,48,0,0,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,51,2,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0
Toyota,0,0,0,6,1,0,4,1,45,0,3,0,9,1,3
Chevrolet,0,0,1,2,0,0,1,0,1,38,0,0,0,1,29
Honda,0,0,1,4,1,1,2,0,1,0,56,0,0,0,0
Audi,0,1,0,2,0,0,0,1,1,2,0,45,1,0,4
Lexus,0,0,0,0,0,0,0,1,2,0,0,0,47,0,1
Tesla,5,1,1,0,1,2,1,0,4,5,2,1,2,55,4
GMC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33
