,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,63,2,1,3,1,6,1,0,3,0,4,9,4,3,5
Mercedes-Benz,4,48,2,2,6,4,2,1,1,0,1,6,9,3,4
Ford,3,2,71,4,3,6,1,6,0,6,0,3,4,2,6
Hyundai,0,0,1,59,4,1,0,0,0,1,2,0,0,1,1
Kia,0,0,0,10,65,0,1,0,0,0,0,0,0,0,0
Ram,0,0,0,0,0,67,0,4,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,71,0,1,0,0,0,1,0,1
Jeep,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0
Toyota,0,1,3,5,0,3,2,4,60,0,2,2,7,0,2
Chevrolet,1,1,1,2,2,2,1,2,0,53,0,1,1,0,29
Honda,0,0,2,1,1,2,1,0,5,0,68,0,2,0,2
Audi,5,1,0,2,2,1,2,0,1,1,1,62,0,2,1
Lexus,0,0,0,0,0,0,0,0,3,1,0,0,59,0,0
Tesla,10,4,3,2,0,0,0,0,1,6,3,0,7,65,3
GMC,0,0,0,0,0,0,0,1,0,4,0,0,0,0,31
