,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,64,3,5,1,0,1,3,3,1,1,2,0,6,3,0
Mercedes-Benz,4,54,4,0,1,3,0,2,2,1,0,4,6,3,0
Ford,1,3,68,5,0,4,1,8,1,2,1,1,4,7,4
Hyundai,0,0,0,62,3,0,0,1,1,0,1,0,1,0,0
Kia,0,1,0,13,66,0,0,0,0,0,0,0,1,0,0
Ram,0,0,0,0,0,62,0,2,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,64,0,2,0,0,0,2,0,0
Jeep,0,0,0,0,1,0,0,57,1,0,0,0,0,0,0
Toyota,1,0,4,6,3,1,4,3,60,3,5,1,7,3,3
Chevrolet,1,0,2,1,1,1,0,1,1,49,0,0,0,1,35
Honda,0,1,1,2,0,1,0,1,2,3,62,0,1,1,0
Audi,5,3,4,0,0,0,0,1,1,0,1,55,3,1,0
Lexus,0,0,1,0,0,2,0,0,2,1,0,0,61,0,0
Tesla,1,3,4,2,2,4,3,1,3,9,1,4,3,66,7
GMC,0,0,0,0,0,0,0,0,0,2,0,0,0,0,34
