,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,48,1,1,5,1,1,1,1,0,1,2,2,4,4,3
Mercedes-Benz,2,41,1,1,3,3,0,1,0,0,0,5,7,3,1
Ford,0,1,57,5,2,5,1,2,2,4,1,0,1,1,3
Hyundai,0,0,0,47,3,0,3,0,1,0,1,0,0,0,0
Kia,0,0,0,11,50,0,1,0,1,0,0,0,1,0,0
Ram,0,1,0,0,0,45,0,0,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,56,0,0,0,0,1,1,0,0
Jeep,0,1,0,0,0,1,0,48,0,0,0,0,0,0,0
Toyota,0,2,2,6,1,3,2,2,47,1,2,1,8,0,2
Chevrolet,0,0,0,1,0,0,0,1,1,33,0,0,0,0,32
Honda,0,1,1,2,0,1,1,3,1,0,50,1,0,1,1
Audi,1,1,0,2,1,1,0,1,1,0,0,47,3,0,0
Lexus,0,0,0,0,0,0,0,0,4,0,1,0,51,0,0
Tesla,4,4,2,0,3,1,0,1,3,7,1,2,2,58,7
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
