,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,63,5,2,1,1,3,2,0,0,3,4,4,7,1,0
Mercedes-Benz,5,56,2,1,3,1,2,0,1,1,3,2,7,1,1
Ford,0,3,63,3,1,1,5,2,2,4,3,0,1,2,4
Hyundai,0,0,0,61,3,0,1,0,0,1,1,0,0,0,0
Kia,0,0,0,8,67,0,0,0,0,0,0,0,0,0,0
Ram,0,0,0,0,0,56,0,2,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,64,0,0,0,0,0,1,0,0
Jeep,0,0,0,0,1,1,1,57,0,0,0,0,1,0,0
Toyota,1,0,2,2,1,3,2,0,65,5,3,0,11,1,0
Chevrolet,0,0,1,2,1,0,0,0,0,57,0,0,1,1,29
Honda,0,1,0,3,0,4,2,0,0,0,66,0,2,1,0
Audi,0,4,1,1,0,0,1,0,0,2,1,61,1,0,1
Lexus,1,1,0,1,0,1,0,0,2,1,0,0,61,0,0
Tesla,0,2,3,4,4,1,0,0,1,6,1,5,0,72,4
GMC,0,0,0,1,0,0,0,0,0,3,0,0,0,0,37
