,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,66,4,0,3,2,1,1,1,1,1,0,3,2,2,0
Mercedes-Benz,1,48,0,3,4,2,0,0,0,0,1,1,6,2,1
Ford,1,0,65,1,3,6,3,4,1,5,1,2,2,1,4
Hyundai,0,1,0,47,6,0,0,0,0,0,1,0,1,0,0
Kia,0,0,0,10,56,0,1,0,0,0,0,0,1,0,0
Ram,0,0,0,0,0,52,0,1,0,0,0,0,0,1,0
Subaru,0,0,0,0,0,1,69,2,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,1,0,62,0,0,0,0,0,0,1
Toyota,0,0,5,0,3,1,5,2,62,1,2,1,10,0,3
Chevrolet,0,0,1,0,1,2,0,0,0,56,0,0,1,0,33
Honda,0,0,1,2,0,0,2,2,1,2,63,0,2,0,0
Audi,3,3,0,1,2,2,1,2,1,0,0,53,3,0,0
Lexus,0,0,0,0,0,1,0,0,5,0,1,0,60,0,1
Tesla,1,1,2,2,2,0,1,1,3,4,1,2,4,67,3
GMC,0,0,1,0,0,0,0,0,0,1,0,0,0,1,39
