,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,47,1,2,2,1,2,2,0,1,0,2,3,2,1,2
Mercedes-Benz,2,40,1,2,0,3,3,0,3,0,1,3,5,3,2
Ford,2,0,53,4,0,1,1,0,1,3,1,1,2,1,4
Hyundai,0,0,0,49,4,0,1,0,0,1,0,0,1,1,0
Kia,0,0,0,13,55,0,0,0,1,0,2,0,1,0,0
Ram,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
Jeep,0,0,0,1,0,0,0,49,0,1,0,0,1,0,1
Toyota,1,0,1,5,1,1,2,1,47,3,6,0,10,1,1
Chevrolet,0,0,0,1,1,0,0,2,1,48,1,0,1,1,32
Honda,1,0,0,3,0,0,1,1,1,1,53,0,0,1,0
Audi,1,2,0,1,1,0,1,1,1,0,0,43,3,0,1
Lexus,0,0,0,0,0,0,0,0,4,0,1,0,53,0,0
Tesla,4,1,3,0,3,4,0,1,3,6,0,2,1,52,5
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
