,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,70,5,1,5,1,1,3,0,3,1,1,2,4,3,0
Mercedes-Benz,4,63,1,4,2,2,3,1,1,2,0,1,4,5,2
Ford,0,2,72,4,1,5,2,3,1,4,2,1,1,5,8
Hyundai,0,0,1,60,2,0,0,0,2,0,1,0,1,1,1
Kia,0,0,1,9,70,0,0,0,0,0,1,0,1,0,0
Ram,0,0,0,0,0,55,0,4,0,0,1,0,0,0,0
Subaru,0,0,0,2,0,0,65,0,1,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0
Toyota,0,0,2,5,0,1,4,1,72,6,6,1,4,2,3
Chevrolet,1,1,2,0,1,3,0,2,0,55,0,0,0,0,32
Honda,0,2,1,4,1,2,3,0,3,1,66,0,1,1,1
Audi,0,3,1,1,0,1,1,1,0,1,0,57,4,0,0
Lexus,0,0,0,0,0,0,0,0,4,0,0,0,70,0,0
Tesla,5,1,3,3,2,2,0,2,2,11,2,0,1,71,5
GMC,0,0,0,0,0,1,0,0,0,1,0,0,0,0,37
