,The car brand is similar to
Audi,77
BMW,157
Chevrolet,22
Ford,93
GMC,1
Honda,27
Hyundai,6
Jeep,1
Kia,5
Lexus,5
Mercedes-Benz,130
Ram,0
Subaru,3
Tesla,25
Toyota,52
