,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,81,5,4,2,3,3,1,3,4,2,4,6,7,2,4
Mercedes-Benz,5,66,3,1,1,4,1,2,2,2,4,6,7,1,2
Ford,0,6,94,2,1,6,4,9,2,6,2,2,3,3,5
Hyundai,0,2,0,75,2,0,0,0,0,0,2,1,0,0,0
Kia,0,1,0,13,87,1,0,0,0,0,1,0,0,1,0
Ram,0,0,0,0,0,88,0,4,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,85,1,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0
Toyota,0,5,2,4,6,6,4,3,82,1,4,1,10,0,1
Chevrolet,1,1,2,2,0,2,1,1,1,70,1,0,1,2,42
Honda,1,4,0,4,2,0,2,1,5,0,83,0,0,1,1
Audi,0,7,3,1,0,0,0,2,1,1,1,80,4,0,2
Lexus,0,1,0,0,0,0,0,0,5,0,0,1,85,0,0
Tesla,1,4,8,3,6,4,5,2,2,6,2,1,6,88,5
GMC,0,0,0,0,0,0,0,0,1,2,0,0,0,0,49
