,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,50,1,0,2,1,3,1,0,1,3,2,5,7,4,1
Mercedes-Benz,3,34,0,3,0,2,0,0,1,3,2,3,6,3,1
Ford,0,2,57,2,0,3,1,1,5,3,2,1,1,3,5
Hyundai,0,0,0,45,1,0,0,0,0,0,1,0,0,1,0
Kia,0,0,0,7,51,0,0,1,0,0,0,0,0,0,1
Ram,0,0,0,0,0,46,0,1,0,0,0,0,0,0,0
Subaru,0,0,0,0,1,0,55,0,0,0,1,0,0,0,0
Jeep,0,0,0,1,0,0,0,44,0,1,0,0,0,0,0
Toyota,1,0,1,1,1,1,3,2,49,4,3,0,3,0,0
Chevrolet,0,0,2,1,0,0,0,0,0,38,0,0,0,0,23
Honda,0,1,1,1,0,1,2,1,3,0,54,0,0,0,0
Audi,2,0,0,0,0,2,0,0,0,1,2,44,3,0,0
Lexus,0,0,0,0,1,0,0,0,1,0,0,1,52,1,1
Tesla,2,2,0,3,2,1,2,1,1,4,2,1,0,55,1
GMC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31
