,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,62,4,2,1,1,5,2,0,1,1,0,3,7,3,2
Mercedes-Benz,4,55,1,1,4,3,0,1,1,3,3,7,7,4,3
Ford,0,2,72,0,2,4,3,5,4,6,2,1,2,1,2
Hyundai,0,1,0,58,3,0,0,0,0,0,1,0,1,0,0
Kia,0,0,0,13,62,0,0,0,1,0,0,0,1,0,0
Ram,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,66,1,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,1,58,0,0,0,0,0,0,1
Toyota,1,2,1,2,2,0,3,3,60,3,5,0,10,3,3
Chevrolet,0,0,0,0,1,1,0,2,1,50,1,0,0,0,25
Honda,0,2,1,3,1,1,2,1,2,2,65,0,2,0,0
Audi,2,2,1,0,1,1,2,0,0,1,0,58,1,1,0
Lexus,0,0,0,1,0,0,1,0,4,0,0,0,65,0,1
Tesla,1,1,2,2,3,2,3,0,2,5,0,4,1,66,10
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
