,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,55,1,5,2,1,1,1,0,2,2,1,1,3,4,1
Mercedes-Benz,4,53,6,1,0,1,1,1,2,5,1,3,4,2,3
Ford,1,2,58,3,3,5,7,4,5,7,0,0,2,4,6
Hyundai,1,0,0,55,4,1,2,0,1,0,1,0,0,0,0
Kia,0,0,0,9,60,0,0,0,0,0,0,0,0,0,0
Ram,0,0,0,0,0,54,0,3,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,59,0,1,0,0,0,1,0,1
Jeep,0,0,0,0,0,1,0,61,0,0,0,0,0,0,0
Toyota,0,1,1,1,2,0,7,2,60,3,2,1,8,0,2
Chevrolet,0,0,0,1,1,1,1,0,1,49,1,0,0,1,34
Honda,0,0,0,2,1,1,2,0,2,0,61,0,1,0,0
Audi,1,0,4,1,0,1,1,0,1,2,0,59,2,0,0
Lexus,0,0,0,0,0,0,0,0,2,0,1,0,60,0,0
Tesla,2,2,5,2,4,0,1,0,4,6,2,1,1,61,2
GMC,0,0,0,0,0,0,1,0,0,1,0,0,0,0,29
