,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,46,1,0,2,3,0,1,0,0,2,1,3,6,0,1
Mercedes-Benz,6,34,1,2,1,1,2,0,0,1,2,2,3,1,1
Ford,2,1,54,1,2,2,3,5,2,3,1,1,2,3,4
Hyundai,0,0,0,46,0,1,0,1,0,0,1,0,0,0,0
Kia,0,0,0,11,49,0,0,1,0,0,0,0,0,0,0
Ram,0,0,1,0,0,53,0,0,1,1,1,0,0,0,0
Subaru,0,0,0,0,0,1,52,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,1,1,0,48,0,1,0,0,0,0,0
Toyota,1,1,1,2,2,1,5,3,48,2,3,0,10,1,1
Chevrolet,0,0,3,0,0,1,0,1,1,42,0,0,0,1,19
Honda,0,0,1,0,2,1,1,1,1,2,54,0,1,0,1
Audi,3,0,1,0,1,0,0,0,0,1,1,47,1,0,1
Lexus,0,0,0,0,0,0,0,0,2,0,0,0,52,0,1
Tesla,5,2,5,0,3,0,0,1,3,3,3,2,0,55,3
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
