,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,15,0,1,1,0,2,1,0,0,0,0,2,0,2,1
Mercedes-Benz,2,16,1,1,1,0,0,0,0,0,0,1,2,2,0
Ford,0,0,17,1,2,1,0,1,0,0,1,0,1,0,1
Hyundai,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0
Kia,0,1,0,6,18,0,0,0,0,0,1,0,0,0,0
Ram,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,19,0,0,0,0,0,1,0,0
Jeep,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
Toyota,0,0,1,1,0,0,0,0,17,1,1,0,1,0,0
Chevrolet,0,0,0,0,1,0,0,0,0,13,0,0,1,0,7
Honda,0,0,0,0,0,0,0,0,1,0,16,0,1,0,0
Audi,1,0,2,1,1,1,0,0,0,0,0,19,0,0,0
Lexus,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0
Tesla,0,1,0,0,1,0,0,0,1,3,0,0,0,20,1
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
