,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,72,4,0,2,1,0,2,1,3,2,3,7,5,4,2
Mercedes-Benz,3,56,0,3,2,1,2,1,2,1,0,5,7,4,3
Ford,3,2,70,2,3,5,3,2,4,3,2,3,2,3,6
Hyundai,0,0,0,63,1,0,0,0,1,0,0,0,0,0,0
Kia,0,0,0,6,70,0,0,0,0,1,0,0,0,0,2
Ram,0,0,0,0,0,64,0,3,0,1,0,0,0,0,1
Subaru,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,71,0,0,0,1,0,0,0
Toyota,1,0,2,6,2,2,5,1,67,2,6,1,5,2,2
Chevrolet,0,0,2,0,0,0,0,2,1,50,0,0,0,2,39
Honda,0,0,0,2,1,2,2,1,3,0,67,1,1,2,2
Audi,2,2,0,0,2,1,1,0,1,0,2,58,5,1,0
Lexus,0,0,0,0,0,0,0,0,4,0,0,0,65,1,0
Tesla,3,4,4,2,1,1,0,1,3,7,4,1,1,71,6
GMC,0,0,0,0,0,0,0,0,0,3,0,0,0,0,38
