,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,69,2,0,1,0,6,0,0,1,1,0,5,5,2,2
Mercedes-Benz,5,48,1,0,1,9,1,0,1,3,1,4,8,1,0
Ford,1,1,69,2,5,4,3,4,1,4,1,1,2,3,5
Hyundai,0,0,0,62,1,1,0,0,0,1,0,0,0,0,0
Kia,0,0,0,11,65,0,1,0,0,1,0,0,0,0,0
Ram,0,0,0,0,0,55,0,4,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,64,0,0,0,0,1,0,0,0
Jeep,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0
Toyota,1,1,0,4,3,3,4,4,68,5,8,0,6,0,2
Chevrolet,0,0,0,0,0,0,2,1,0,42,0,0,0,0,29
Honda,0,1,1,1,2,1,1,0,3,2,67,0,1,1,0
Audi,3,2,1,0,0,1,1,0,1,0,0,56,1,2,0
Lexus,0,0,0,0,1,0,0,0,2,0,0,0,60,0,0
Tesla,4,4,3,3,5,3,1,1,1,1,2,0,2,68,8
GMC,0,0,0,0,0,0,0,0,0,2,0,0,0,0,35
