,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,61,4,2,1,2,1,0,0,0,1,0,7,4,1,0
Mercedes-Benz,5,46,3,3,4,1,3,0,0,0,0,2,4,0,1
Ford,2,1,65,1,0,3,2,4,1,4,1,1,2,2,2
Hyundai,0,0,0,58,2,0,0,0,0,0,0,0,0,0,0
Kia,0,0,0,14,60,0,0,0,0,0,0,0,0,0,0
Ram,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0
Subaru,0,0,0,1,0,0,55,0,2,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,56,0,1,0,0,0,0,0
Toyota,1,2,0,2,2,1,6,2,59,1,0,0,5,0,1
Chevrolet,1,0,1,1,1,1,0,1,1,52,0,0,0,0,31
Honda,0,1,1,2,0,0,2,0,3,0,61,0,1,0,1
Audi,1,5,0,2,0,1,0,0,0,0,1,52,1,1,0
Lexus,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0
Tesla,2,4,4,2,3,1,2,1,0,11,1,4,1,62,5
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
