,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,74,3,0,2,1,1,2,0,4,1,3,4,6,5,4
Mercedes-Benz,4,50,0,3,2,2,0,2,4,0,2,3,8,4,2
Ford,1,1,68,2,0,6,1,5,3,11,2,1,5,2,6
Hyundai,0,0,1,67,3,0,0,0,1,1,0,0,0,0,2
Kia,0,0,0,12,69,0,1,1,0,0,0,0,0,1,0
Ram,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,1,73,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0
Toyota,1,2,1,4,0,3,6,0,65,2,2,0,9,0,2
Chevrolet,0,0,3,0,0,2,1,1,1,56,0,0,0,1,29
Honda,2,0,0,2,0,2,3,0,1,0,70,2,0,0,3
Audi,1,1,0,1,0,3,0,0,2,1,2,56,2,0,3
Lexus,0,0,0,0,0,0,0,0,6,1,0,0,64,0,0
Tesla,6,2,4,3,2,1,2,1,2,7,4,4,1,70,6
GMC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40
