,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,64,8,1,5,2,1,2,1,1,1,3,3,11,1,2
Mercedes-Benz,3,47,0,4,1,2,1,1,1,0,4,5,7,2,1
Ford,2,1,72,2,1,5,1,2,4,5,4,0,3,2,4
Hyundai,0,0,0,54,3,0,1,0,1,2,0,0,0,0,0
Kia,0,0,0,12,65,0,0,0,0,1,0,0,0,0,0
Ram,0,0,0,0,0,59,0,3,0,2,0,0,0,1,0
Subaru,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0
Jeep,0,0,1,0,1,0,0,64,0,0,0,0,0,0,1
Toyota,1,0,2,4,2,2,0,1,59,2,3,2,8,1,1
Chevrolet,0,0,3,0,0,2,2,0,0,50,1,0,1,3,31
Honda,0,0,1,5,0,1,0,1,2,1,64,0,1,0,3
Audi,1,2,0,0,2,0,0,0,1,0,2,60,5,0,1
Lexus,0,1,0,1,0,0,0,0,1,1,0,0,60,0,0
Tesla,5,3,3,2,3,1,2,0,2,2,3,3,2,71,1
GMC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38
