,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,49,4,4,3,0,4,1,1,3,2,0,3,5,3,0
Mercedes-Benz,4,39,2,2,0,6,1,0,2,1,1,2,7,1,2
Ford,1,0,53,2,2,3,3,5,5,3,1,1,2,4,5
Hyundai,0,0,1,41,0,0,0,1,2,0,3,0,0,0,1
Kia,0,0,0,12,54,0,0,1,0,0,1,0,0,0,0
Ram,0,0,0,0,0,44,0,1,0,0,0,0,0,0,0
Subaru,0,0,1,0,0,0,54,1,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
Toyota,0,1,2,5,4,1,1,2,51,2,3,0,7,1,2
Chevrolet,0,0,2,1,0,1,1,0,0,41,0,0,0,0,23
Honda,0,0,1,0,0,1,0,1,2,0,49,0,1,0,1
Audi,3,2,2,3,0,1,0,0,0,0,0,49,3,0,1
Lexus,0,1,0,0,0,0,0,0,2,0,0,0,53,0,0
Tesla,3,3,2,1,1,2,3,0,3,6,1,1,2,52,2
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
