,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,49,1,1,1,2,3,1,0,1,2,2,1,3,3,1
Mercedes-Benz,3,39,1,0,4,5,0,1,1,2,0,3,3,2,1
Ford,0,1,56,0,2,1,0,2,3,3,1,0,2,2,4
Hyundai,0,0,0,44,0,0,0,0,1,0,1,0,0,0,0
Kia,0,0,0,12,50,0,0,0,0,0,1,0,1,0,0
Ram,0,0,0,0,0,38,0,2,0,1,0,0,0,0,0
Subaru,0,0,1,0,0,0,54,0,0,0,0,0,1,0,0
Jeep,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
Toyota,0,1,4,1,1,1,4,0,47,2,6,1,8,0,3
Chevrolet,0,0,0,0,0,1,0,0,0,40,0,0,0,0,23
Honda,0,0,1,1,1,0,0,0,1,0,54,0,1,0,0
Audi,2,0,1,0,1,3,1,0,1,0,0,49,3,0,1
Lexus,0,1,0,0,0,0,0,0,2,0,0,0,50,0,0
Tesla,1,1,3,1,2,1,2,1,3,6,1,0,0,54,1
GMC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23
