,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,66,3,3,2,4,1,0,0,2,1,3,5,4,2,2
Mercedes-Benz,4,61,3,0,2,4,1,0,2,2,2,4,6,1,4
Ford,3,1,74,1,4,3,5,2,2,4,1,1,2,2,8
Hyundai,1,0,1,53,1,1,1,0,0,0,1,0,0,0,0
Kia,0,0,0,12,71,1,0,0,2,0,1,0,0,0,0
Ram,0,0,0,0,0,63,0,3,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,75,0,0,0,0,0,1,0,0
Jeep,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0
Toyota,1,0,5,5,3,0,5,1,69,0,2,0,6,2,6
Chevrolet,1,1,2,1,1,3,0,2,0,48,0,1,1,0,29
Honda,1,0,0,3,1,0,2,0,2,0,69,0,1,0,3
Audi,2,2,0,0,2,1,3,0,2,1,1,65,1,0,2
Lexus,0,0,0,1,0,0,0,0,3,1,0,0,62,0,0
Tesla,2,6,6,2,1,2,0,1,6,5,0,1,3,71,2
GMC,0,0,0,0,0,1,0,0,0,1,0,0,1,0,47
