,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,53,5,2,4,1,4,1,1,4,1,3,3,5,6,6
Mercedes-Benz,3,39,1,5,0,1,0,1,2,0,5,0,3,6,3
Ford,1,4,53,5,3,2,2,9,3,4,2,0,1,2,6
Hyundai,0,1,0,50,1,0,0,0,0,1,0,0,1,0,0
Kia,0,0,0,6,52,0,0,1,0,0,0,0,0,0,0
Ram,0,0,0,0,0,47,0,2,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,54,0,1,0,0,0,0,0,0
Jeep,0,1,0,1,1,0,0,48,0,0,0,0,0,0,0
Toyota,0,2,1,2,2,0,0,2,48,2,3,0,7,2,2
Chevrolet,0,2,1,1,1,2,0,3,1,38,0,0,1,0,21
Honda,0,1,0,1,2,1,0,1,2,2,49,0,0,1,2
Audi,1,3,1,1,2,1,0,0,2,0,2,41,1,2,1
Lexus,0,0,0,0,0,0,0,0,1,0,0,0,50,0,0
Tesla,3,4,4,4,2,1,1,0,5,5,2,1,2,51,2
GMC,0,0,0,1,0,0,0,0,0,1,0,0,0,0,27
