,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,87,7,4,1,1,3,3,0,2,4,5,8,8,5,2
Mercedes-Benz,4,73,4,2,1,3,2,1,0,7,0,8,10,1,3
Ford,3,0,90,0,1,2,3,8,2,8,0,5,5,6,5
Hyundai,0,0,0,76,4,0,0,0,1,0,0,0,2,0,0
Kia,0,0,0,18,80,0,0,0,0,0,0,0,1,0,0
Ram,0,0,1,0,2,76,0,3,0,0,0,0,0,0,0
Subaru,0,0,0,0,1,1,84,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,83,0,1,0,0,0,0,0
Toyota,2,1,2,4,4,1,7,4,84,5,9,1,7,3,2
Chevrolet,0,0,3,0,1,0,1,1,0,64,0,0,1,0,39
Honda,0,1,1,2,2,2,3,1,2,2,83,0,4,0,2
Audi,3,3,1,0,2,2,2,0,0,2,2,73,5,1,2
Lexus,0,1,0,1,0,0,1,0,4,0,0,1,87,0,1
Tesla,2,4,3,2,3,1,2,1,4,7,8,1,4,88,4
GMC,0,0,0,0,0,0,0,0,0,2,0,0,0,0,46
