,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,76,5,3,4,2,1,2,3,2,0,4,8,5,3,3
Mercedes-Benz,3,73,2,2,2,4,2,2,0,1,3,5,10,3,7
Ford,1,1,84,4,6,5,1,7,3,3,1,0,4,2,9
Hyundai,0,0,0,76,3,0,2,1,2,0,3,0,1,0,0
Kia,0,0,0,10,85,0,0,0,1,0,0,0,1,0,0
Ram,0,0,0,0,0,74,1,3,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,1,89,1,0,0,1,0,0,0,0
Jeep,0,0,0,0,1,0,0,81,0,0,0,0,1,0,0
Toyota,1,0,1,8,4,5,3,2,81,2,3,1,12,2,0
Chevrolet,0,0,0,1,1,0,1,2,2,71,1,0,1,0,35
Honda,1,0,0,5,3,2,3,1,2,2,88,0,4,2,1
Audi,0,1,3,1,0,0,1,1,0,0,4,78,3,1,2
Lexus,0,0,0,1,0,0,0,0,3,0,0,1,79,0,0
Tesla,3,1,2,1,9,0,3,2,6,9,3,5,2,95,5
GMC,0,0,0,0,0,0,0,0,0,2,0,0,0,0,46
