,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,49,3,2,1,1,0,4,2,1,2,1,3,1,1,0
Mercedes-Benz,1,37,3,3,1,3,2,2,0,1,1,1,3,1,0
Ford,1,2,58,0,3,2,3,5,2,9,1,0,2,3,8
Hyundai,0,0,0,43,2,0,0,0,0,2,1,0,0,1,0
Kia,0,0,0,9,53,0,0,0,0,0,0,0,0,0,0
Ram,0,0,0,0,0,44,0,1,0,0,0,1,0,0,1
Subaru,0,0,0,1,0,0,53,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0
Toyota,0,1,6,0,3,1,1,3,47,3,8,0,5,1,5
Chevrolet,0,0,1,0,2,1,0,0,1,35,0,0,0,0,23
Honda,0,0,2,2,0,1,2,0,0,1,54,0,3,0,1
Audi,1,1,0,1,1,1,2,1,0,2,0,44,4,0,0
Lexus,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0
Tesla,1,3,2,1,3,1,0,1,1,4,0,1,2,57,2
GMC,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32
