,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,54,3,0,2,1,0,1,0,3,0,2,6,3,5,1
Mercedes-Benz,4,46,1,1,1,2,1,1,2,3,0,3,6,4,0
Ford,0,0,54,1,1,4,1,4,3,7,0,3,4,3,1
Hyundai,0,0,0,48,1,0,1,1,1,3,0,0,0,0,0
Kia,0,0,0,9,51,1,0,0,0,0,0,0,0,0,1
Ram,0,0,0,0,1,42,0,1,0,0,0,0,0,0,0
Subaru,0,0,0,0,1,0,54,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,1,0,43,0,0,0,0,0,0,0
Toyota,1,0,1,2,2,2,2,1,50,5,2,0,8,3,1
Chevrolet,0,0,1,0,0,2,0,1,0,44,0,1,0,1,28
Honda,0,0,1,0,1,1,0,0,2,3,54,0,3,0,1
Audi,2,2,0,0,0,0,0,0,0,1,1,44,1,3,0
Lexus,0,0,0,0,0,0,0,0,2,0,0,0,49,0,0
Tesla,2,3,2,2,2,2,2,3,2,4,1,3,0,57,5
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
