,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,58,5,2,4,3,0,2,1,2,1,1,5,4,2,0
Mercedes-Benz,2,52,1,4,2,1,2,0,1,2,2,3,5,1,3
Ford,0,3,62,4,1,1,3,8,2,7,4,2,1,1,4
Hyundai,0,1,0,62,2,0,0,0,0,0,0,0,1,0,0
Kia,0,1,0,5,61,0,0,1,0,0,0,0,0,0,0
Ram,0,0,1,0,0,52,0,0,1,0,0,0,0,0,0
Subaru,0,0,0,0,1,1,65,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0
Toyota,1,2,3,3,3,0,8,4,56,5,6,0,6,0,0
Chevrolet,0,0,1,0,0,2,0,0,0,49,1,0,0,0,28
Honda,0,0,1,2,2,1,2,1,2,4,66,0,1,0,0
Audi,1,3,1,2,0,0,0,1,0,2,1,45,2,1,0
Lexus,0,1,0,0,0,0,0,0,2,0,0,0,61,0,0
Tesla,2,2,2,0,4,3,2,1,6,5,2,2,0,56,0
GMC,0,0,0,0,1,0,0,0,0,2,0,0,0,0,34
