,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,16,1,1,1,2,0,0,0,0,0,0,1,2,0,1
Mercedes-Benz,4,11,1,1,2,0,0,0,0,0,0,0,1,0,1
Ford,2,0,18,0,0,1,0,1,0,4,2,1,2,0,2
Hyundai,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0
Kia,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0
Ram,0,0,1,0,0,18,1,1,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0
Jeep,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
Toyota,1,0,1,0,2,0,1,1,19,1,3,0,3,0,2
Chevrolet,0,0,0,0,1,0,0,0,0,10,0,0,0,0,5
Honda,0,0,0,0,0,0,0,0,0,2,19,0,0,0,1
Audi,1,1,0,0,0,0,0,0,0,0,0,15,0,0,1
Lexus,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
Tesla,1,1,0,1,3,1,1,0,3,1,0,0,0,19,0
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
