,Unnamed: 0,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
0,Jeep,671,0,14,4,8,3,4,48,9,34,5,4,13,3,9,8,6,20,18,6,11
1,Subaru,2,487,0,1,1,0,3,2,0,5,1,0,1,0,3,0,0,0,0,11,8
2,Dodge,28,0,653,0,0,1,0,13,3,1,0,1,1,1,10,1,0,2,0,1,5
3,Tesla,5,0,0,727,72,28,76,62,53,26,4,5,32,15,33,24,36,31,3,30,105
4,Toyota,52,1,2,17,641,202,232,99,252,187,36,5,50,27,47,14,46,78,5,121,98
5,Honda,16,0,1,9,113,718,89,37,100,101,102,23,13,26,44,11,46,17,22,63,65
6,Nissan,24,0,0,19,51,47,670,39,23,33,88,5,6,11,18,8,14,7,3,62,34
7,Chevrolet,68,0,13,7,33,20,25,562,11,15,4,3,8,8,35,6,18,12,1,14,48
8,Hyundai,10,0,2,4,10,18,19,9,648,12,5,0,2,3,2,1,6,4,0,8,13
9,Mazda,1,0,2,0,14,8,5,13,6,615,2,5,1,4,9,2,8,4,2,36,7
10,Renault,0,0,0,0,3,3,14,0,3,2,488,1,6,3,2,3,7,2,13,5,8
11,Lamborghini,1,0,0,0,1,0,1,1,0,2,5,731,3,5,0,14,3,0,7,5,1
12,Mercedes-Benz,9,0,1,16,18,20,27,27,19,32,200,72,650,112,26,71,90,28,100,130,43
13,BMW,5,0,0,17,34,83,75,27,33,118,52,57,175,677,33,152,217,45,36,245,124
14,Ford,107,0,25,27,224,69,68,311,144,156,9,13,38,24,460,64,36,74,7,36,98
15,Porsche,5,0,6,4,5,2,11,5,0,11,22,64,40,39,21,600,30,44,35,38,13
16,Audi,3,0,0,2,5,3,13,4,4,7,30,51,41,39,7,50,589,113,16,61,20
17,Volkswagen,8,0,1,5,82,12,51,30,58,58,10,2,56,18,10,81,149,604,2,11,38
18,Ferrari,2,0,2,0,1,2,13,2,3,5,278,267,40,15,29,138,11,2,701,8,3
19,Lexus,0,0,0,1,21,3,3,0,5,6,3,7,6,4,1,0,3,2,0,239,4
20,Volvo,3,0,0,2,4,1,3,2,6,0,1,0,1,2,4,1,1,3,0,1,550
