,Unnamed: 0,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
0,Jeep,668,0,11,3,15,3,8,45,9,29,6,4,5,2,11,5,12,11,17,3,9
1,Subaru,2,491,0,0,4,1,5,1,2,4,0,0,1,1,1,2,2,1,0,10,3
2,Dodge,35,0,664,0,0,0,1,13,2,1,0,0,0,0,3,0,2,0,0,1,3
3,Tesla,7,0,1,721,73,29,103,61,63,23,4,11,28,20,29,19,26,27,4,24,115
4,Toyota,43,0,7,11,632,191,224,117,261,190,46,3,53,31,36,23,48,74,2,127,82
5,Honda,22,0,6,5,115,711,80,48,107,122,108,30,14,23,47,21,52,25,28,72,58
6,Nissan,12,0,3,16,47,56,675,43,32,31,94,2,11,18,21,9,20,13,2,49,24
7,Chevrolet,71,0,12,6,29,21,31,555,17,12,6,9,7,9,34,5,20,9,1,13,33
8,Hyundai,8,0,2,4,9,19,15,12,646,15,1,0,4,7,3,2,5,8,0,10,12
9,Mazda,4,0,2,2,11,11,7,12,4,603,0,4,4,9,12,3,13,4,1,26,2
10,Renault,1,0,0,0,3,1,12,1,2,0,472,2,5,8,3,5,3,5,13,8,17
11,Lamborghini,3,0,2,0,0,1,0,0,0,1,7,727,1,1,3,13,3,1,15,1,2
12,Mercedes-Benz,6,0,7,15,20,26,27,20,17,23,213,60,664,114,23,70,84,24,89,127,42
13,BMW,13,0,5,20,29,97,79,29,29,111,67,58,166,660,33,154,196,34,22,258,128
14,Ford,110,0,27,23,224,53,61,337,156,157,18,6,41,14,461,65,46,74,4,34,101
15,Porsche,8,0,5,2,4,4,23,8,4,14,20,69,35,26,17,605,34,57,22,27,14
16,Audi,2,0,1,2,4,4,10,8,9,13,35,56,57,50,8,50,592,101,12,52,20
17,Volkswagen,14,0,0,6,77,19,70,39,67,63,3,2,62,21,11,71,188,593,1,19,33
18,Ferrari,0,0,2,0,2,2,13,2,4,4,260,246,40,13,36,147,13,3,703,3,2
19,Lexus,1,0,0,0,27,4,6,4,7,5,2,3,8,2,3,2,3,2,0,261,4
20,Volvo,0,0,0,3,3,1,1,2,5,2,2,0,2,0,0,0,2,4,0,0,561
