,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,45,0,0,0,1,2,0,5,0,0,1,0,0,0,2,0,0,1,1,1,1
Subaru,0,30,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0
Dodge,2,0,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tesla,0,0,0,46,3,5,8,3,3,3,0,0,4,3,2,2,2,2,0,1,9
Toyota,2,0,0,1,45,14,14,9,20,9,1,1,3,2,1,1,4,4,0,14,5
Honda,0,0,0,0,12,49,3,4,8,9,11,2,1,0,2,1,3,2,2,5,3
Nissan,0,0,0,1,5,3,46,3,1,1,2,0,2,1,1,0,0,1,0,8,0
Chevrolet,6,0,1,2,3,2,1,34,2,1,1,0,0,0,2,0,0,3,0,2,5
Hyundai,1,0,0,0,1,2,0,0,43,2,0,0,0,0,1,0,0,1,0,1,0
Mazda,0,0,0,0,1,1,2,0,0,47,0,0,1,0,1,2,0,0,0,2,0
Renault,0,0,0,0,0,0,0,1,1,0,26,0,0,0,0,0,0,0,1,0,0
Lamborghini,0,0,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,2,1,0
Mercedes-Benz,0,0,1,0,2,4,0,1,1,1,14,4,42,8,1,2,5,0,8,8,2
BMW,0,0,1,0,3,4,8,1,2,8,2,5,9,48,2,7,22,0,3,18,10
Ford,8,0,1,1,21,6,1,29,9,10,0,0,6,1,28,3,1,4,0,3,5
Porsche,0,0,0,1,0,0,0,0,1,2,0,5,0,1,2,42,2,1,0,3,1
Audi,0,0,0,0,0,0,0,0,0,1,1,4,2,3,1,5,40,2,2,7,1
Volkswagen,0,0,0,0,4,2,9,0,2,2,0,0,0,3,0,5,9,36,0,1,3
Ferrari,0,0,0,0,0,0,1,0,1,1,19,13,5,0,2,8,1,0,48,1,0
Lexus,0,0,0,0,3,0,1,0,3,0,0,0,1,0,0,0,0,0,0,17,0
Volvo,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,33
