,Unnamed: 0,The car brand is similar to
0,Audi,390
1,BMW,648
2,Buick,1
3,Chevrolet,86
4,Dodge,10
5,Ferrari,256
6,Ford,444
7,GMC,6
8,Honda,183
9,Hyundai,55
10,Infiniti,3
11,Jeep,107
12,Lamborghini,49
13,Lexus,22
14,MG,0
15,Mazda,46
16,Mercedes-Benz,1978
17,Nissan,110
18,Porsche,309
19,Ram,1
20,Renault,32
21,Subaru,21
22,Tesla,162
23,Toyota,270
24,Volkswagen,360
25,Volvo,30
