,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,27,0,1,0,0,0,0,4,1,1,0,0,0,0,0,0,1,1,0,0,0
Subaru,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodge,3,0,29,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
Tesla,0,0,0,29,4,0,6,2,3,1,0,1,4,0,4,2,1,0,0,0,1
Toyota,1,0,0,1,27,10,8,4,13,6,0,1,2,3,0,1,2,2,1,5,2
Honda,3,0,0,0,3,29,2,2,2,4,5,0,0,2,2,0,2,0,2,1,4
Nissan,0,0,0,0,0,4,26,2,2,2,4,2,1,1,0,1,0,1,0,5,1
Chevrolet,2,0,0,1,1,0,3,24,0,0,0,1,0,0,0,0,0,0,0,2,0
Hyundai,1,0,0,0,0,0,0,1,25,1,0,0,0,1,0,0,0,0,0,0,0
Mazda,0,0,0,0,0,1,0,0,0,27,0,0,0,0,1,0,1,0,0,1,0
Renault,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,2,0,0
Lamborghini,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
Mercedes-Benz,0,0,0,0,1,1,1,0,0,0,13,0,25,9,4,3,4,1,5,4,1
BMW,0,0,0,0,1,2,3,1,2,5,2,0,6,28,1,4,8,2,2,15,6
Ford,3,0,3,0,8,1,1,11,6,7,0,2,2,1,17,2,0,4,0,0,2
Porsche,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,22,0,4,1,3,0
Audi,0,0,0,0,0,0,1,0,0,0,3,1,0,1,0,1,21,3,1,6,1
Volkswagen,1,0,0,0,2,1,6,1,0,5,0,0,1,2,1,2,9,23,0,0,0
Ferrari,0,0,0,0,0,0,0,0,0,0,9,12,3,0,0,6,1,0,27,0,0
Lexus,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0
Volvo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
