,Unnamed: 0,The car brand Mercedes-Benz is similar to,The car brand Nissan is similar to
0,Jeep,29,19
1,Subaru,5,14
2,Dodge,3,0
3,GMC,4,0
4,Tesla,219,222
5,Buick,1,0
6,Toyota,105,386
7,Honda,36,97
8,Nissan,50,1363
9,Chevrolet,36,60
10,Hyundai,16,32
11,Ram,0,1
12,Mazda,9,29
13,Renault,6,28
14,Lamborghini,12,4
15,Mercedes-Benz,1068,194
16,BMW,418,280
17,Ford,197,303
18,Porsche,128,70
19,Audi,127,109
20,Volkswagen,211,305
21,Ferrari,106,58
22,MG,0,0
23,Lexus,13,16
24,Infiniti,1,6
25,Volvo,20,26
